Service	Service_Tier	Opened_Date	Resolved_Date	State	Priority	Assignment_Group	Reassignment_Count	Reopened_Flag	Change_Related_Flag	Problem_ID	Channel
Payment Gateway	Tier 1	2/13/26 5:17	2/13/26 10:17	Closed	P1	Integration Ops	2	0	1	PRB1064	Alert
Payment Gateway	Tier 1	3/8/26 19:32	3/9/26 2:32	Closed	P3	Integration Ops	0	0	1	PRB1086	Alert
Customer Portal	Tier 1	5/12/25 19:05	5/15/25 2:05	Closed	P3	DBA Core	3	0	0	PRB1024	Alert
Mobile App	Tier 2	11/17/25 14:24	11/19/25 6:24	Closed	P4	Network Sec	3	0	0	PRB1018	Alert
Customer Portal	Tier 1	10/3/25 5:51	10/6/25 8:51	Closed	P4	Web Team	2	0	0	PRB1017	Self Service
Mobile App	Tier 2	10/29/25 0:13	10/30/25 0:13	Closed	P3	Network Sec	2	0	0	PRB1049	Alert
Customer Portal	Tier 1	11/29/25 22:16	12/4/25 7:16	Closed	P4	DBA Core	2	0	0	PRB1083	Alert
Mobile App	Tier 2	1/31/26 8:08	2/1/26 15:08	Closed	P4	Network Sec	3	0	0		Alert
Customer Portal	Tier 1	2/11/26 1:09	2/15/26 1:09	Closed	P3	Web Team	4	0	0	PRB1024	Email
Customer Portal	Tier 1	3/23/25 7:45	3/26/25 17:45	Closed	P4	DBA Core	2	1	0		Alert
Customer Portal	Tier 1	12/9/25 10:08	12/11/25 11:08	Closed	P4	Web Team	5	1	0	PRB1078	Self Service
Reporting Engine	Tier 3	11/26/25 5:12	11/26/25 9:12	Closed	P4	Platform Eng	0	0	0	PRB1051	Alert
Customer Portal	Tier 1	12/23/25 22:42	12/26/25 13:42	Closed	P3	DBA Core	3	1	0		Alert
Mobile App	Tier 2	6/7/25 21:13	6/8/25 1:13	Closed	P3	Network Sec	3	1	0	PRB1013	Alert
Customer Portal	Tier 1	12/12/25 3:26	12/13/25 4:26	Closed	P3	Service Desk	6	0	0	PRB1002	Phone
Customer Portal	Tier 1	4/20/25 16:37	4/23/25 17:37	Closed	P3	Web Team	3	0	0	PRB1040	Email
Mobile App	Tier 2	8/12/25 15:13	8/13/25 3:13	Closed	P2	Network Sec	2	0	0	PRB1034	Alert
Mobile App	Tier 2	4/12/25 13:38	4/13/25 2:38	Closed	P4	Network Sec	1	0	0	PRB1077	Alert
Payment Gateway	Tier 1	11/15/25 22:07	11/16/25 2:07	Closed	P1	Integration Ops	2	0	1	PRB1036	Alert
Mobile App	Tier 2	4/19/25 15:59	4/20/25 8:59	Closed	P4	Network Sec	3	0	0	PRB1095	Alert
Inventory System	Tier 3	7/31/25 12:32	8/1/25 2:32	Closed	P4	Platform Eng	0	0	0		Alert
Reporting Engine	Tier 3	11/22/25 8:17	11/22/25 18:17	Closed	P4	Platform Eng	0	0	0	PRB1015	Alert
Customer Portal	Tier 1	2/20/26 3:18	2/24/26 15:18	Closed	P4	DBA Core	6	0	0	PRB1003	Alert
Customer Portal	Tier 1	4/7/25 4:37	4/11/25 14:37	Closed	P4	DBA Core	3	0	0	PRB1058	Alert
Mobile App	Tier 2	9/27/25 0:26	9/27/25 19:26	Closed	P4	Network Sec	1	0	0	PRB1013	Alert
Payment Gateway	Tier 1	5/7/25 6:10	5/7/25 12:10	Closed	P1	Integration Ops	0	0	0		Alert
Customer Portal	Tier 1	1/10/26 4:20	1/13/26 16:20	Closed	P4	Web Team	4	0	0	PRB1035	Self Service
Customer Portal	Tier 1	9/29/25 17:57	10/2/25 19:57	Closed	P4	Service Desk	4	1	0	PRB1011	Phone
Customer Portal	Tier 1	10/11/25 9:08	10/15/25 18:08	Closed	P4	Web Team	5	0	0	PRB1017	Email
Payment Gateway	Tier 1	1/24/26 19:39	1/24/26 23:39	Closed	P1	Integration Ops	0	0	1	PRB1053	Alert
Customer Portal	Tier 1	2/8/26 17:39	2/13/26 14:39	Closed	P4	DBA Core	2	0	0	PRB1078	Alert
Customer Portal	Tier 1	7/15/25 2:47	7/16/25 9:47	Closed	P3	Web Team	2	0	0	PRB1100	Self Service
Mobile App	Tier 2	12/14/25 10:27	12/14/25 22:27	Closed	P3	Network Sec	1	1	0	PRB1081	Alert
Customer Portal	Tier 1	8/8/25 10:04	8/10/25 7:04	Closed	P4	Web Team	6	0	0	PRB1044	Email
Customer Portal	Tier 1	1/24/26 10:47	1/27/26 4:47	Closed	P4	Web Team	2	0	0	PRB1003	Self Service
Customer Portal	Tier 1	10/1/25 8:49	10/4/25 18:49	Closed	P4	Web Team	6	0	0	PRB1088	Email
Customer Portal	Tier 1	2/27/26 7:11	2/28/26 20:11	Closed	P4	DBA Core	3	0	0	PRB1044	Alert
Payment Gateway	Tier 1	2/13/26 11:33	2/13/26 12:33	Closed	P2	Integration Ops	0	0	0	PRB1004	Alert
Inventory System	Tier 3	8/12/25 17:37	8/13/25 6:37	Closed	P4	Platform Eng	0	0	0	PRB1070	Alert
Inventory System	Tier 3	12/29/25 15:30	12/30/25 15:30	Closed	P4	Platform Eng	0	0	0		Alert
Mobile App	Tier 2	6/30/25 8:18	7/1/25 8:18	Closed	P3	Network Sec	1	0	0	PRB1085	Alert
Mobile App	Tier 2	5/25/25 15:36	5/25/25 22:36	Closed	P3	Network Sec	1	0	0	PRB1096	Alert
Customer Portal	Tier 1	1/11/26 9:47	1/13/26 21:47	Closed	P4	Service Desk	5	1	0	PRB1083	Phone
Mobile App	Tier 2	7/8/25 5:51	7/8/25 21:51	Closed	P3	Network Sec	3	0	0	PRB1042	Alert
Payment Gateway	Tier 1	1/11/26 1:16	1/11/26 9:16	Closed	P1	Integration Ops	2	0	1	PRB1036	Alert
Mobile App	Tier 2	3/19/25 11:26	3/20/25 0:26	Closed	P4	Network Sec	3	0	0	PRB1027	Alert
Inventory System	Tier 3	11/18/25 23:24	11/19/25 12:24	Closed	P4	Platform Eng	0	0	0		Alert
Mobile App	Tier 2	2/9/26 17:18	2/10/26 21:18	Closed	P4	Network Sec	2	1	0	PRB1077	Alert
Mobile App	Tier 2	9/24/25 2:02	9/25/25 8:02	Closed	P3	Network Sec	1	0	0	PRB1027	Alert
Inventory System	Tier 3	3/9/26 18:53	3/9/26 21:53	Closed	P4	Platform Eng	1	0	0	PRB1021	Alert
Customer Portal	Tier 1	4/23/25 2:50	4/27/25 4:50	Closed	P4	Web Team	4	0	0	PRB1017	Self Service
Payment Gateway	Tier 1	9/1/25 22:20	9/1/25 23:20	Closed	P2	Integration Ops	1	0	1	PRB1064	Alert
Mobile App	Tier 2	12/14/25 3:14	12/15/25 8:14	Closed	P2	Network Sec	2	0	0	PRB1037	Alert
Mobile App	Tier 2	5/8/25 20:39	5/9/25 12:39	Closed	P3	Network Sec	2	0	0	PRB1012	Alert
Mobile App	Tier 2	7/16/25 23:00	7/18/25 8:00	Closed	P3	Network Sec	1	1	0	PRB1048	Alert
Customer Portal	Tier 1	4/21/25 2:47	4/22/25 17:47	Closed	P4	Service Desk	5	0	0	PRB1044	Phone
Customer Portal	Tier 1	4/21/25 10:09	4/23/25 4:09	Closed	P4	DBA Core	6	1	0	PRB1062	Alert
Mobile App	Tier 2	6/26/25 0:55	6/26/25 23:55	Closed	P4	Network Sec	2	0	0	PRB1077	Alert
Mobile App	Tier 2	6/22/25 0:47	6/23/25 15:47	Closed	P2	Network Sec	2	0	0	PRB1055	Alert
Customer Portal	Tier 1	6/1/25 22:44	6/3/25 14:44	Closed	P3	Service Desk	2	1	0	PRB1040	Phone
Mobile App	Tier 2	10/30/25 15:01	11/1/25 8:01	Closed	P3	Network Sec	3	0	0	PRB1012	Alert
Customer Portal	Tier 1	1/25/26 7:12	1/28/26 15:12	Closed	P4	Service Desk	2	1	0		Phone
Customer Portal	Tier 1	5/21/25 5:46	5/22/25 11:46	Closed	P5	Web Team	2	1	0	PRB1083	Email
Reporting Engine	Tier 3	8/12/25 15:17	8/12/25 17:17	Closed	P4	Platform Eng	1	0	0	PRB1069	Alert
Mobile App	Tier 2	9/6/25 5:07	9/7/25 2:07	Closed	P2	Network Sec	1	0	0	PRB1033	Alert
Inventory System	Tier 3	9/26/25 18:00	9/27/25 5:00	Closed	P4	Platform Eng	0	0	0		Alert
Customer Portal	Tier 1	6/2/25 11:04	6/5/25 16:04	Closed	P4	Service Desk	2	0	0	PRB1024	Phone
Payment Gateway	Tier 1	8/12/25 13:08	8/12/25 14:08	Closed	P2	Integration Ops	0	0	0	PRB1086	Alert
Mobile App	Tier 2	9/28/25 2:38	9/29/25 18:38	Closed	P3	Network Sec	3	0	0	PRB1042	Alert
Customer Portal	Tier 1	4/8/25 18:06	4/11/25 5:06	Closed	P3	Service Desk	4	0	0	PRB1003	Phone
Mobile App	Tier 2	4/24/25 21:19	4/25/25 11:19	Closed	P3	Network Sec	2	0	0	PRB1027	Alert
Customer Portal	Tier 1	2/8/26 17:59	2/12/26 18:59	Closed	P3	DBA Core	2	0	0	PRB1040	Alert
Reporting Engine	Tier 3	6/16/25 20:48	6/17/25 3:48	Closed	P4	Platform Eng	1	0	0	PRB1010	Alert
Payment Gateway	Tier 1	12/15/25 4:39	12/15/25 5:39	Closed	P3	Integration Ops	2	0	1	PRB1064	Alert
Mobile App	Tier 2	2/4/26 22:34	2/5/26 14:34	Closed	P4	Network Sec	3	1	0		Alert
Reporting Engine	Tier 3	3/31/25 17:50	4/1/25 10:50	Closed	P4	Platform Eng	1	0	0	PRB1010	Alert
Customer Portal	Tier 1	3/8/26 11:24	3/11/26 5:24	Closed	P3	Service Desk	2	0	0	PRB1002	Phone
Payment Gateway	Tier 1	4/9/25 3:06	4/9/25 9:06	Closed	P3	Integration Ops	1	0	0		Alert
Customer Portal	Tier 1	8/9/25 2:07	8/10/25 11:07	Closed	P4	Service Desk	2	0	0	PRB1068	Phone
Mobile App	Tier 2	5/8/25 23:49	5/9/25 23:49	Closed	P3	Network Sec	3	1	0	PRB1034	Alert
Reporting Engine	Tier 3	5/23/25 15:41	5/24/25 3:41	Closed	P4	Platform Eng	1	0	0		Alert
Mobile App	Tier 2	10/31/25 17:24	11/2/25 15:24	Closed	P3	Network Sec	3	0	0	PRB1027	Alert
Mobile App	Tier 2	12/25/25 1:11	12/25/25 16:11	Closed	P3	Network Sec	3	0	0	PRB1018	Alert
Customer Portal	Tier 1	5/26/25 17:07	5/27/25 21:07	Closed	P4	DBA Core	5	0	0	PRB1098	Alert
Payment Gateway	Tier 1	9/25/25 16:46	9/25/25 18:46	Closed	P3	Integration Ops	2	0	1	PRB1064	Alert
Customer Portal	Tier 1	2/23/26 19:46	2/28/26 4:46	Closed	P4	Service Desk	4	0	0	PRB1030	Phone
Reporting Engine	Tier 3	6/6/25 10:23	6/6/25 20:23	Closed	P4	Platform Eng	1	0	0	PRB1005	Alert
Customer Portal	Tier 1	9/3/25 4:30	9/6/25 5:30	Closed	P3	Web Team	2	0	0	PRB1011	Self Service
Mobile App	Tier 2	10/15/25 1:18	10/16/25 3:18	Closed	P4	Network Sec	2	0	0	PRB1043	Alert
Customer Portal	Tier 1	7/9/25 12:44	7/10/25 16:44	Closed	P4	DBA Core	3	1	0	PRB1016	Alert
Customer Portal	Tier 1	12/26/25 6:35	12/28/25 2:35	Closed	P3	Service Desk	2	0	0	PRB1071	Phone
Customer Portal	Tier 1	12/15/25 14:27	12/19/25 3:27	Closed	P5	Service Desk	4	0	0		Phone
Customer Portal	Tier 1	4/25/25 7:47	4/26/25 13:47	Closed	P5	Service Desk	6	0	0	PRB1030	Phone
Customer Portal	Tier 1	11/28/25 13:13	11/30/25 22:13	Closed	P5	Web Team	6	0	0	PRB1093	Email
Customer Portal	Tier 1	4/7/25 4:01	4/8/25 23:01	Closed	P3	Service Desk	5	0	0	PRB1088	Phone
Customer Portal	Tier 1	6/5/25 8:56	6/6/25 11:56	Closed	P4	Web Team	6	0	0	PRB1020	Self Service
Customer Portal	Tier 1	9/15/25 21:31	9/18/25 23:31	Closed	P3	Service Desk	5	0	0	PRB1060	Phone
Customer Portal	Tier 1	8/7/25 11:04	8/10/25 11:04	Closed	P4	Service Desk	6	0	0	PRB1068	Phone
Customer Portal	Tier 1	4/9/25 22:31	4/13/25 22:31	Closed	P3	Web Team	5	0	0	PRB1045	Email
Customer Portal	Tier 1	1/4/26 18:41	1/7/26 22:41	Closed	P4	Service Desk	2	0	0	PRB1093	Phone
Payment Gateway	Tier 1	10/25/25 10:05	10/25/25 18:05	Closed	P2	Integration Ops	1	0	0	PRB1047	Alert
Reporting Engine	Tier 3	3/2/26 14:29	3/3/26 4:29	Closed	P4	Platform Eng	1	0	0	PRB1008	Alert
Inventory System	Tier 3	5/23/25 3:20	5/23/25 19:20	Closed	P4	Platform Eng	0	0	0	PRB1021	Alert
Inventory System	Tier 3	4/2/25 13:46	4/2/25 19:46	Closed	P4	Platform Eng	0	0	0	PRB1031	Alert
Customer Portal	Tier 1	2/3/26 22:27	2/5/26 16:27	Closed	P5	Web Team	3	0	0		Self Service
Payment Gateway	Tier 1	8/14/25 17:20	8/14/25 19:20	Closed	P1	Integration Ops	2	0	0	PRB1014	Alert
Payment Gateway	Tier 1	1/16/26 11:10	1/16/26 12:10	Closed	P2	Integration Ops	1	0	1		Alert
Mobile App	Tier 2	10/23/25 1:02	10/23/25 14:02	Closed	P3	Network Sec	2	1	0	PRB1018	Alert
Payment Gateway	Tier 1	1/16/26 3:40	1/16/26 5:40	Closed	P2	Integration Ops	0	0	0	PRB1064	Alert
Customer Portal	Tier 1	10/25/25 3:38	10/28/25 17:38	Closed	P4	Web Team	5	0	0		Email
Payment Gateway	Tier 1	4/1/25 1:28	4/1/25 8:28	Closed	P1	Integration Ops	1	0	1	PRB1064	Alert
Customer Portal	Tier 1	2/28/26 8:56	3/2/26 18:56	Closed	P4	DBA Core	3	1	0	PRB1084	Alert
Customer Portal	Tier 1	12/7/25 23:17	12/12/25 16:17	Closed	P4	Web Team	4	0	0	PRB1088	Self Service
Customer Portal	Tier 1	6/29/25 15:10	7/2/25 8:10	Closed	P4	Service Desk	4	0	0	PRB1082	Phone
Mobile App	Tier 2	12/29/25 18:06	12/31/25 0:06	Closed	P3	Network Sec	1	0	0	PRB1025	Alert
Customer Portal	Tier 1	7/15/25 19:52	7/17/25 3:52	Closed	P4	Web Team	2	0	0	PRB1030	Email
Mobile App	Tier 2	5/30/25 20:41	5/31/25 11:41	Closed	P3	Network Sec	3	0	0	PRB1001	Alert
Inventory System	Tier 3	9/10/25 6:24	9/10/25 9:24	Closed	P4	Platform Eng	0	0	0	PRB1031	Alert
Customer Portal	Tier 1	8/18/25 3:46	8/21/25 19:46	Closed	P4	Service Desk	4	0	0	PRB1083	Phone
Payment Gateway	Tier 1	5/24/25 23:11	5/25/25 7:11	Closed	P1	Integration Ops	0	0	1	PRB1052	Alert
Reporting Engine	Tier 3	2/5/26 7:29	2/5/26 14:29	Closed	P4	Platform Eng	1	0	0	PRB1056	Alert
Inventory System	Tier 3	4/5/25 6:46	4/5/25 20:46	Closed	P4	Platform Eng	1	0	0	PRB1007	Alert
Customer Portal	Tier 1	11/25/25 1:14	11/27/25 11:14	Closed	P4	Service Desk	3	0	0	PRB1039	Phone
Customer Portal	Tier 1	5/23/25 6:20	5/27/25 16:20	Closed	P3	DBA Core	2	0	0	PRB1024	Alert
Payment Gateway	Tier 1	8/28/25 14:09	8/28/25 19:09	Closed	P1	Integration Ops	1	0	0	PRB1032	Alert
Reporting Engine	Tier 3	9/14/25 5:56	9/14/25 13:56	Closed	P4	Platform Eng	1	0	0	PRB1051	Alert
Customer Portal	Tier 1	11/29/25 5:36	12/2/25 22:36	Closed	P4	DBA Core	5	0	0	PRB1002	Alert
Reporting Engine	Tier 3	4/27/25 23:36	4/28/25 22:36	Closed	P4	Platform Eng	1	0	0	PRB1051	Alert
Customer Portal	Tier 1	12/18/25 3:52	12/22/25 14:52	Closed	P4	Web Team	4	0	0	PRB1044	Self Service
Reporting Engine	Tier 3	1/8/26 6:44	1/9/26 0:44	Closed	P4	Platform Eng	0	0	0	PRB1010	Alert
Customer Portal	Tier 1	3/26/25 21:15	3/31/25 17:15	Closed	P3	DBA Core	5	0	0	PRB1024	Alert
Mobile App	Tier 2	12/28/25 2:50	12/29/25 6:50	Closed	P4	Network Sec	2	0	0	PRB1043	Alert
Customer Portal	Tier 1	10/10/25 15:09	10/15/25 6:09	Closed	P4	DBA Core	3	0	0	PRB1040	Alert
Payment Gateway	Tier 1	2/6/26 11:19	2/6/26 14:19	Closed	P2	Integration Ops	2	0	1	PRB1032	Alert
Mobile App	Tier 2	12/23/25 15:13	12/24/25 11:13	Closed	P3	Network Sec	2	1	0	PRB1018	Alert
Mobile App	Tier 2	11/26/25 3:46	11/27/25 4:46	Closed	P4	Network Sec	1	0	0	PRB1096	Alert
Customer Portal	Tier 1	6/26/25 4:35	6/29/25 3:35	Closed	P4	DBA Core	4	0	0	PRB1065	Alert
Payment Gateway	Tier 1	9/16/25 9:24	9/16/25 11:24	Closed	P2	Integration Ops	0	0	1	PRB1091	Alert
Inventory System	Tier 3	8/24/25 10:26	8/24/25 21:26	Closed	P4	Platform Eng	1	0	0		Alert
Customer Portal	Tier 1	5/11/25 14:56	5/15/25 0:56	Closed	P4	Service Desk	3	0	0	PRB1098	Phone
Customer Portal	Tier 1	11/18/25 9:57	11/21/25 1:57	Closed	P4	Service Desk	5	0	0	PRB1035	Phone
Customer Portal	Tier 1	1/15/26 22:41	1/19/26 12:41	Closed	P4	Service Desk	3	0	0	PRB1030	Phone
Mobile App	Tier 2	8/30/25 14:48	8/31/25 19:48	Closed	P2	Network Sec	3	0	0	PRB1046	Alert
Reporting Engine	Tier 3	6/2/25 10:40	6/3/25 5:40	Closed	P4	Platform Eng	0	0	0	PRB1005	Alert
Mobile App	Tier 2	3/23/25 22:59	3/24/25 14:59	Closed	P4	Network Sec	2	0	0	PRB1054	Alert
Mobile App	Tier 2	7/16/25 4:54	7/17/25 6:54	Closed	P3	Network Sec	1	0	0	PRB1096	Alert
Customer Portal	Tier 1	7/7/25 22:42	7/10/25 12:42	Closed	P4	DBA Core	4	1	0	PRB1006	Alert
Customer Portal	Tier 1	3/2/26 1:30	3/4/26 20:30	Closed	P4	DBA Core	4	0	0	PRB1024	Alert
Customer Portal	Tier 1	5/6/25 22:55	5/11/25 19:55	Closed	P4	Service Desk	5	1	0	PRB1040	Phone
Customer Portal	Tier 1	8/9/25 17:02	8/10/25 21:02	Closed	P3	DBA Core	3	1	0		Alert
Reporting Engine	Tier 3	11/29/25 2:00	11/29/25 5:00	Closed	P4	Platform Eng	0	0	0	PRB1080	Alert
Customer Portal	Tier 1	10/15/25 13:02	10/17/25 4:02	Closed	P4	Service Desk	2	0	0	PRB1071	Phone
Customer Portal	Tier 1	10/5/25 1:38	10/9/25 13:38	Closed	P4	Service Desk	2	0	0	PRB1020	Phone
Customer Portal	Tier 1	12/21/25 3:23	12/24/25 20:23	Closed	P4	Service Desk	5	0	0	PRB1020	Phone
Payment Gateway	Tier 1	1/13/26 3:06	1/13/26 7:06	Closed	P1	Integration Ops	0	0	1	PRB1064	Alert
Customer Portal	Tier 1	4/1/25 7:17	4/3/25 3:17	Closed	P4	Service Desk	4	0	0	PRB1058	Phone
Payment Gateway	Tier 1	3/18/25 1:31	3/18/25 5:31	Closed	P3	Integration Ops	2	0	0	PRB1036	Alert
Customer Portal	Tier 1	1/13/26 17:42	1/15/26 4:42	Closed	P3	Service Desk	6	0	0	PRB1029	Phone
Payment Gateway	Tier 1	9/10/25 9:13	9/10/25 13:13	Closed	P2	Integration Ops	0	0	0	PRB1073	Alert
Reporting Engine	Tier 3	4/24/25 18:17	4/24/25 21:17	Closed	P4	Platform Eng	1	0	0	PRB1069	Alert
Mobile App	Tier 2	8/29/25 10:33	8/30/25 10:33	Closed	P4	Network Sec	2	0	0	PRB1077	Alert
Mobile App	Tier 2	11/23/25 8:19	11/25/25 6:19	Closed	P2	Network Sec	1	1	0	PRB1018	Alert
Customer Portal	Tier 1	1/27/26 12:01	1/30/26 11:01	Closed	P4	Web Team	6	0	0	PRB1017	Email
Customer Portal	Tier 1	2/10/26 8:50	2/15/26 0:50	Closed	P3	Web Team	5	0	0	PRB1071	Self Service
Customer Portal	Tier 1	4/26/25 6:40	4/28/25 2:40	Closed	P4	Service Desk	2	1	0	PRB1011	Phone
Customer Portal	Tier 1	11/9/25 10:16	11/12/25 7:16	Closed	P4	DBA Core	5	1	0	PRB1071	Alert
Customer Portal	Tier 1	2/24/26 16:58	2/26/26 6:58	Closed	P4	DBA Core	3	0	0	PRB1088	Alert
Customer Portal	Tier 1	10/26/25 22:45	10/31/25 21:45	Closed	P3	Web Team	4	1	0	PRB1092	Self Service
Mobile App	Tier 2	12/9/25 6:52	12/10/25 19:52	Closed	P3	Network Sec	3	0	0	PRB1054	Alert
Mobile App	Tier 2	11/29/25 18:13	11/30/25 20:13	Closed	P2	Network Sec	3	0	0	PRB1049	Alert
Mobile App	Tier 2	3/21/25 12:32	3/21/25 19:32	Closed	P3	Network Sec	3	0	0	PRB1063	Alert
Payment Gateway	Tier 1	4/15/25 1:47	4/15/25 4:47	Closed	P1	Integration Ops	1	0	0	PRB1091	Alert
Mobile App	Tier 2	6/11/25 11:46	6/12/25 23:46	Closed	P3	Network Sec	2	0	0	PRB1009	Alert
Payment Gateway	Tier 1	4/20/25 4:24	4/20/25 12:24	Closed	P1	Integration Ops	0	0	1	PRB1052	Alert
Reporting Engine	Tier 3	12/31/25 10:07	1/1/26 3:07	Closed	P4	Platform Eng	1	0	0	PRB1008	Alert
Mobile App	Tier 2	1/31/26 18:01	1/31/26 22:01	Closed	P2	Network Sec	2	1	0	PRB1055	Alert
Customer Portal	Tier 1	11/26/25 5:16	11/28/25 7:16	Closed	P4	DBA Core	4	0	0	PRB1097	Alert
Mobile App	Tier 2	2/7/26 21:36	2/8/26 15:36	Closed	P4	Network Sec	2	0	0	PRB1094	Alert
Customer Portal	Tier 1	9/8/25 17:54	9/13/25 12:54	Closed	P4	DBA Core	6	0	0	PRB1068	Alert
Customer Portal	Tier 1	10/15/25 16:50	10/18/25 5:50	Closed	P4	Service Desk	2	0	0		Phone
Payment Gateway	Tier 1	1/30/26 4:05	1/30/26 7:05	Closed	P2	Integration Ops	0	0	0	PRB1052	Alert
Mobile App	Tier 2	5/2/25 21:25	5/3/25 13:25	Closed	P4	Network Sec	1	0	0	PRB1025	Alert
Reporting Engine	Tier 3	12/20/25 8:56	12/20/25 16:56	Closed	P4	Platform Eng	0	0	0	PRB1069	Alert
Customer Portal	Tier 1	11/27/25 17:15	12/1/25 3:15	Closed	P4	Service Desk	6	1	0	PRB1082	Phone
Payment Gateway	Tier 1	10/17/25 20:26	10/17/25 21:26	Closed	P2	Integration Ops	1	0	1	PRB1079	Alert
Reporting Engine	Tier 3	5/23/25 10:32	5/24/25 6:32	Closed	P4	Platform Eng	0	0	0		Alert
Mobile App	Tier 2	9/28/25 18:38	9/29/25 18:38	Closed	P2	Network Sec	2	0	0	PRB1063	Alert
Reporting Engine	Tier 3	7/28/25 3:40	7/28/25 17:40	Closed	P4	Platform Eng	0	0	0	PRB1051	Alert
Reporting Engine	Tier 3	11/5/25 23:56	11/6/25 14:56	Closed	P4	Platform Eng	0	0	0	PRB1010	Alert
Mobile App	Tier 2	12/18/25 11:08	12/19/25 11:08	Closed	P4	Network Sec	2	0	0	PRB1055	Alert
Mobile App	Tier 2	12/8/25 15:40	12/9/25 13:40	Closed	P3	Network Sec	1	0	0	PRB1063	Alert
Customer Portal	Tier 1	12/17/25 20:58	12/20/25 13:58	Closed	P4	DBA Core	3	0	0		Alert
Customer Portal	Tier 1	1/1/26 10:38	1/6/26 0:38	Closed	P4	Web Team	6	0	0	PRB1075	Email
Reporting Engine	Tier 3	10/6/25 0:11	10/6/25 2:11	Closed	P4	Platform Eng	1	0	0		Alert
Customer Portal	Tier 1	12/7/25 9:39	12/9/25 21:39	Closed	P4	Service Desk	2	1	0	PRB1030	Phone
Customer Portal	Tier 1	8/3/25 7:09	8/4/25 11:09	Closed	P4	DBA Core	4	1	0	PRB1093	Alert
Mobile App	Tier 2	12/30/25 7:47	12/31/25 1:47	Closed	P2	Network Sec	3	0	0	PRB1095	Alert
Payment Gateway	Tier 1	12/11/25 2:37	12/11/25 7:37	Closed	P1	Integration Ops	2	0	0	PRB1086	Alert
Mobile App	Tier 2	7/16/25 10:08	7/18/25 9:08	Closed	P4	Network Sec	2	0	0	PRB1089	Alert
Inventory System	Tier 3	11/13/25 0:03	11/13/25 8:03	Closed	P4	Platform Eng	0	0	0	PRB1050	Alert
Reporting Engine	Tier 3	12/17/25 13:26	12/18/25 13:26	Closed	P4	Platform Eng	0	0	0		Alert
Payment Gateway	Tier 1	7/9/25 5:56	7/9/25 9:56	Closed	P2	Integration Ops	2	0	0	PRB1026	Alert
Customer Portal	Tier 1	8/10/25 11:44	8/12/25 2:44	Closed	P5	Service Desk	3	0	0	PRB1090	Phone
Customer Portal	Tier 1	7/23/25 9:04	7/24/25 9:04	Closed	P3	Web Team	3	1	0	PRB1044	Self Service
Customer Portal	Tier 1	1/11/26 11:02	1/12/26 17:02	Closed	P5	Service Desk	3	0	0	PRB1100	Phone
Reporting Engine	Tier 3	10/16/25 15:51	10/17/25 11:51	Closed	P4	Platform Eng	1	0	0		Alert
Customer Portal	Tier 1	4/12/25 11:27	4/16/25 5:27	Closed	P4	Web Team	6	1	0	PRB1035	Email
Mobile App	Tier 2	6/10/25 21:42	6/11/25 23:42	Closed	P2	Network Sec	3	0	0	PRB1012	Alert
Reporting Engine	Tier 3	6/9/25 20:03	6/10/25 7:03	Closed	P4	Platform Eng	1	0	0	PRB1056	Alert
Reporting Engine	Tier 3	7/29/25 9:01	7/30/25 8:01	Closed	P4	Platform Eng	0	0	0	PRB1008	Alert
Customer Portal	Tier 1	2/23/26 22:57	2/28/26 13:57	Closed	P5	DBA Core	6	1	0	PRB1006	Alert
Customer Portal	Tier 1	3/5/26 22:15	3/7/26 1:15	Closed	P5	Service Desk	5	0	0	PRB1058	Phone
Payment Gateway	Tier 1	4/3/25 0:43	4/3/25 8:43	Closed	P2	Integration Ops	2	0	0	PRB1052	Alert
Customer Portal	Tier 1	1/11/26 7:51	1/13/26 4:51	Closed	P4	Web Team	6	1	0	PRB1020	Self Service
Payment Gateway	Tier 1	2/15/26 21:55	2/16/26 1:55	Closed	P1	Integration Ops	0	0	1	PRB1073	Alert
Mobile App	Tier 2	11/23/25 2:23	11/24/25 9:23	Closed	P4	Network Sec	1	0	0	PRB1081	Alert
Mobile App	Tier 2	3/31/25 17:07	4/1/25 18:07	Closed	P2	Network Sec	3	0	0	PRB1048	Alert
Customer Portal	Tier 1	8/22/25 7:24	8/24/25 16:24	Closed	P3	Web Team	6	1	0	PRB1040	Email
Customer Portal	Tier 1	3/19/25 6:58	3/23/25 2:58	Closed	P4	Web Team	4	1	0	PRB1023	Self Service
Payment Gateway	Tier 1	8/2/25 22:00	8/3/25 0:00	Closed	P2	Integration Ops	2	0	1	PRB1079	Alert
Inventory System	Tier 3	11/7/25 13:36	11/8/25 0:36	Closed	P4	Platform Eng	1	0	0		Alert
Customer Portal	Tier 1	5/16/25 17:02	5/20/25 5:02	Closed	P4	Web Team	5	0	0	PRB1003	Email
Payment Gateway	Tier 1	11/18/25 5:44	11/18/25 10:44	Closed	P1	Integration Ops	1	0	0	PRB1091	Alert
Customer Portal	Tier 1	2/19/26 17:25	2/23/26 15:25	Closed	P4	DBA Core	4	0	0	PRB1002	Alert
Payment Gateway	Tier 1	7/13/25 7:55	7/13/25 9:55	Closed	P1	Integration Ops	0	0	1	PRB1047	Alert
Customer Portal	Tier 1	5/11/25 7:46	5/15/25 0:46	Closed	P4	DBA Core	4	1	0		Alert
